in;out
подвергни анализу рощу, которая правее камушка позади рытвины, осматривай её;роща
повернись до мужчины, находящегося рядом с разрывом неподалеку от препятствия, исследуй его;мужчина
начни поворачивать к недалёкой дубраве, оставь позади её;дубрава
пытайся осматривать возвышенность, делай маневр к ней;возвышенность
обходи бугор, находящийся справа от строения, находящееся за булыжником, соверши поворот до него;бугор
оставь позади ту сосну и захаживай к ней;сосна
обнаружь ближайший разрыв и обозревай его;разрыв
повернись до этого холмика, осматривай его;холмик
повернись к валуну, который левее чащи, которая левее лампы, подвергни анализу его;валун
осмотри этот валун и повернись до него;валун
соверши поворот к недалёкой избе, анализируй её;изба
иди куда смотрю, до ребёнка и рассмотри его;ребёнок
опережай в том направлении, до дуба и сделай поворот к нему;дуб
отыщи здание, которое находится левее валуна левее провала, разглядывай его;здание
перед дубом столб, который надо обозревать, переходи к нему;столб
сделай поворот до бугра впереди, осмотри его;бугор
заворчивай к домику левее тебя и обставь его;домик
начни заворчивать до сосны слева и высаживайся к ней;сосна
около останца располагается разрыв, который приказывают разыскать, наступай к нему;разрыв
обнаружь чащу, прорывайся к ней;чаща
подвергни анализу мужчину и осмотри его;мужчина
сделай поворот до недалёкого камня и исследуй его;камень
отыщи останец и осмотри его;останец
перед постройкой располагается растение, до которого нужно проходить, сделай поворот до него;растение
за особняком располагается ребёнок, которого приказывается обнаружить и обозревай его;ребёнок
начинай командироваться к недалёкому светильнику, осмотри его;светильник
попробуй спускаться до расщелины, заворчивай до неё;расщелина
пытайся обследовать автомобиль и обскакивай его;автомобиль
соверши поворот до близлежащего останца и опережай его;останец
рассмотри чащу, которая справа от барьера, что располагается справа от дамы, объезжай её;чаща
осматривай дерево, прохаживай к нему;дерево
обозревай трещину, которая спереди от сосны, которая располагается около машины, сделай поворот до неё;трещина
за тачкой домик, который умоляют обставить и поднемись к нему;домик
около железного коня располагается упавшее дерево, которое приказывают исследовать, разглядывай его;упавшее дерево
начинай исследовать булыгу, сделай поворот к ней;булыга
рассмотри ближнее сваленное дерево и поворачивай к нему;сваленное дерево
плетись к столбу перед упавшим человеком, располагающемуся рядом с расщелиной, обозревай его;столб
спереди от останца находится рытвина, до которой надо выбираться и рассмотри её;рытвина
сделай поворот к той яме и шкандыбай до неё;яма
анализируй близкое сваленное дерево, приедь к нему;сваленное дерево
попробуй обозревать близкий автомобиль, поворачивай до него;автомобиль
опереди в том направлении, до женщины и рассмотри её;женщина
оставь позади в ту сторону, к камню и скачи к нему;камень
обнаружь булыжник, который располагается рядом с горой, располагающуюся неподалеку от ребёнка, обскакивай его;булыжник
начни опережать данную гору и сделай поворот до неё;гора
плыви к ближней лесополосе и анализируй её;лесополоса
обскакивай недалёкую кучу и исследуй её;куча
выполни передислокацию до барьера и сделай поворот до него;барьер
обскочи холмик позади, обозревай его;холмик
пытайся следовать по пути туда, до препятствия, осмотри его;препятствие
объезжай близкий домик, направляй шаги до него;домик
начни осматривать туда, до рощи, обскакивай её;роща
разглядывай валун, находящийся слева от светильника, который спереди от автомобиля, обскочи его;валун
обскакивай близкий разлом и обследуй его;разлом
разыщи ближайшую гору, оставь позади её;гора
пытайся осматривать сломанное дерево и соверши поворот к нему;сломанное дерево
трусь до поваленного дерева и анализируй его;поваленное дерево
начинай заворчивать до ямы и анализируй её;яма
оставь позади камушек, что правее леса, который располагается правее останца, сделай поворот до него;камушек
соверши поворот к валуну левее и анализируй его;валун
позади останца располагается спиленное дерево, которое необходимо обставить, осматривай его;спиленное дерево
найди поваленное дерево спереди себя и анализируй его;поваленное дерево
подвергни анализу автомобиль за собой, обозревай его;автомобиль
повернись к железному коню, который за человеком, находящемуся рядом с сломанным деревом, ползи к нему;железный конь
обнаружь останец и повернись к нему;останец
сделай поворот к булыжнику и шкандыбарь к нему;булыжник
начни осматривать упавшего человека правее и оставь позади его;упавший человек
отыщи близлежащую булыгу и обскакивай её;булыга
пытайся исследовать пьяного человека за тобой, рассматривай его;пьяный человек
разыщи провал перед разрывом, что неподалеку от леса, осмотри его;провал
разглядывай растение, которое располагается спереди от впадины, которая левее валуна и обследуй его;растение
начинай исследовать свет, поторапливайся до него;свет
рассмотри яму перед тобой и обставь её;яма
направляй шаги к загородке позади себя и сделай поворот к ней;загородка
обставь наблюдаемое сломанное дерево, удались до него;сломанное дерево
около машины упавшее дерево, которое приказывают подвергнуть анализу, обскочи его;упавшее дерево
осмотри лежащего человека справа от кучи, что слева от избы, командируйся к нему;лежащий человек
попробуй заворчивать до берёзы, располагающейся неподалеку от валуна, что левее света, вышагивай до неё;береза
начинай поворачивать к останцу, находящемуся справа от пригорка, который левее лежащего человека, обскакивай его;останец
рассматривай расщелину, заворчивай к ней;расщелина
обследуй лес, что справа от ребёнка, располагающегося левее избы и разглядывай его;лес
подвергни анализу ближнее препятствие, объезжай его;препятствие
опережай останец, поворачивай до него;останец
попробуй исследовать близлежащую расщелину, осмотри её;расщелина
анализируй упавшего человека, гуляй к нему;упавший человек
подвергни анализу дуб, который спереди от кучи, находящуюся позади свалившегося человека и опереди его;дуб
шлёпай до ближайшего ребёнка, рассматривай его;ребёнок
